cip_code,total_graduates,knowledge_rate,career_outcomes_perc,total_perc_employed_overall,total_perc_employed_full_time,total_perc_employed_part_time,perc_standard_employment_overall,perc_standard_full_time,perc_standard_part_time,perc_entrepreneur_overall,perc_entrepreneur_full_time,perc_entrepreneur_part_time,perc_temp_contract_overall,perc_temp_contract_full_time,perc_temp_contract_part_time,perc_freelance_overall,perc_freelance_full_time,perc_freelance_part_time,perc_fellowship_intern_overall,perc_fellowship_intern_full_time,perc_fellowship_intern_part_time,perc_service,perc_military,perc_continuing_ed,perc_seeking_employment,perc_seeking_continuing_ed,perc_not_seeking,mean_starting_salary,year,perc_still_seeking_overall
42.01,23929,61.9,8.0,48.8,4.4,8.4,43.9,37.2,6.7,0.6,0.5,0.1,1.9,1.4,0.6,0.9,0.2,0.7,1.4,1.1,0.2,1.5,0.6,27.2,11.0,8.5,2.3,35328,2017,
45.06,11667,62.3,85.8,69.1,66.1,3.0,63.2,61.3,2.0,1.4,1.3,0.1,1.7,1.4,0.3,0.4,0.2,0.2,2.3,1.9,0.4,0.6,0.6,14.2,11.2,2.8,1.5,54598,2017,
45.09,2564,78.2,8.4,57.1,53.5,3.5,47.0,44.9,2.0,1.0,0.9,0.1,3.4,2.4,0.9,0.5,0.4,0.1,5.2,4.9,0.3,3.5,2.3,15.6,14.9,4.3,2.3,43716,2017,
50.04,4287,63.7,83.6,77.7,68.6,9.1,63.6,57.9,5.6,1.9,1.7,0.2,4.1,3.3,0.8,5.1,2.9,2.1,3.1,2.8,0.3,0.4,0.3,4.4,15.4,0.8,1.0,43846,2017,
50.10,586,82.1,75.9,65.7,54.3,11.4,51.8,44.3,7.5,2.1,2.1,0.0,5.2,3.7,1.5,3.1,1.5,1.7,3.5,2.7,0.8,1.0,0.2,6.9,21.6,1.9,2.7,34873,2017,
51.07,1835,67.8,82.7,69.8,65.2,4.6,66.8,62.6,4.3,0.7,0.6,0.1,1.3,1.1,0.2,0.2,0.2,0.0,0.8,0.7,0.1,2.0,1.8,8.0,13.3,3.9,1.2,44725,2017,
51.22,4627,61.2,79.7,49.5,42.6,6.9,42.6,38.8,3.8,0.2,0.2,0.0,2.4,1.7,0.7,2.0,0.1,1.9,2.4,1.9,0.5,1.9,0.1,27.4,11.8,8.4,0.9,4112,2017,
51.31,661,68.1,88.7,47.8,4.4,7.3,36.9,31.3,5.6,0.7,0.4,0.2,3.8,2.9,0.9,0.9,0.7,0.2,5.6,5.1,0.4,0.4,0.2,38.4,7.8,3.3,2.0,36762,2017,
51.38,17384,62.2,91.7,86.9,8.5,6.4,83.2,78.1,5.0,0.3,0.2,0.1,1.1,0.8,0.3,1.0,0.1,0.9,1.4,1.3,0.1,0.4,0.6,3.0,7.5,0.8,0.9,5842,2017,
52.02,29772,65.2,85.8,75.1,7.2,5.0,69.1,65.7,3.4,1.8,1.6,0.2,1.8,1.4,0.5,0.9,0.3,0.6,1.6,1.2,0.3,0.4,0.8,7.8,12.1,1.8,1.9,51851,2017,
52.03,14391,76.0,88.8,65.3,59.9,5.4,59.3,56.3,3.0,0.7,0.6,0.0,1.2,1.0,0.2,0.7,0.2,0.6,3.4,1.8,1.6,0.1,0.3,21.9,8.7,2.3,1.3,52343,2017,
52.09,2586,72.5,85.4,78.8,73.6,5.2,7.9,67.2,3.7,1.2,1.0,0.2,3.1,2.3,0.8,0.5,0.3,0.3,3.1,2.9,0.2,0.4,0.4,4.7,13.5,0.9,1.3,38776,2017,
52.10,2367,68.4,85.8,76.7,72.2,4.4,69.1,66.4,2.7,1.2,1.0,0.2,3.0,2.1,0.9,0.3,0.2,0.1,3.1,2.5,0.6,0.2,1.0,7.1,11.8,2.3,0.9,4616,2017,
52.06,1765,72.6,67.8,51.7,49.6,2.1,47.4,46.4,1.0,0.9,0.9,0.0,1.1,0.9,0.2,0.9,0.5,0.4,1.4,0.9,0.5,0.3,0.7,12.4,25.4,5.5,4.0,539,2017,
