,cip_code,total_graduates,knowledge_rate,career_outcomes_perc,total_perc_employed_overall,total_perc_employed_full_time,total_perc_employed_part_time,perc_standard_employment_overall,perc_standard_full_time,perc_standard_part_time,perc_entrepreneur_overall,perc_entrepreneur_full_time,perc_entrepreneur_part_time,perc_temp_contract_overall,perc_temp_contract_full_time,perc_temp_contract_part_time,perc_freelance_overall,perc_freelance_full_time,perc_freelance_part_time,perc_fellowship_intern_overall,perc_fellowship_intern_full_time,perc_fellowship_intern_part_time,perc_service,perc_military,perc_continuing_ed,perc_seeking_employment,perc_seeking_continuing_ed,perc_not_seeking,mean_starting_salary,year,perc_still_seeking_overall,CIPCode,CIPTitle
40,14.09,222,73.8,88.8,74.7,73.8,0.9,72.3,71.6,0.7,0.9,0.8,0.1,0.9,0.9,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.2,0.7,12.6,1.0,1.2,0.7,74439,2016,,14.09,Computer Engineering.
41,14.10,6113,74.1,86.6,64.6,62.7,1.8,61.2,6.0,1.2,1.0,0.8,0.2,1.0,0.8,0.2,0.2,0.1,0.0,1.3,1.1,0.2,0.2,0.6,2.2,11.4,1.9,1.1,795,2016,,14.10,"Electrical, Electronics and Communications Engineering."
42,14.12,284,78.9,83.3,47.3,44.2,3.1,43.8,41.5,2.2,0.9,0.9,0.0,1.3,0.4,0.9,0.0,0.0,0.0,1.3,1.3,0.0,0.0,2.7,32.1,14.7,1.8,1.3,6233,2016,,14.12,Engineering Physics.
43,14.13,85,51.8,84.1,61.4,61.4,0.0,61.4,61.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,15.9,0.0,0.0,6154,2016,,14.13,Engineering Science.
44,14.14,51,87.8,81.6,57.8,56.5,1.3,55.4,54.9,0.4,0.2,0.2,0.0,0.4,0.2,0.2,0.0,0.0,0.0,1.8,1.1,0.7,0.4,1.3,2.8,17.0,1.1,1.6,5858,2016,,14.14,Environmental/Environmental Health Engineering.
45,14.18,226,7.4,86.7,55.3,54.7,0.6,54.1,53.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.6,1.9,28.3,11.3,1.9,0.6,59849,2016,,14.18,Materials Engineering
46,14.19,1431,77.2,84.5,67.8,66.1,1.8,64.7,63.4,1.3,0.9,0.7,0.2,0.9,0.8,0.1,0.1,0.1,0.0,1.2,1.0,0.1,0.1,1.3,14.2,14.2,1.1,1.2,64241,2016,,14.19,Mechanical Engineering.
47,14.20,11,86.4,83.2,49.5,48.4,1.1,49.5,48.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,32.6,14.7,2.1,0.0,67316,2016,,14.20,Metallurgical Engineering.
48,14.21,251,62.9,75.6,63.9,63.9,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.6,0.6,9.5,23.4,0.6,1.3,65549,2016,,14.21,Mining and Mineral Engineering.
49,14.23,117,79.5,79.6,39.8,37.6,2.2,35.5,34.4,1.1,0.0,0.0,0.0,2.2,1.1,1.1,0.0,0.0,0.0,2.2,2.2,0.0,0.0,2.2,37.6,18.3,2.2,0.0,6121,2016,,14.23,Nuclear Engineering.
50,14.25,782,86.6,65.2,46.2,46.1,0.1,45.9,45.8,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,18.0,29.0,5.5,1.0,78541,2016,,14.25,Petroleum Engineering.
51,14.27,11,77.3,81.0,63.5,63.5,0.0,54.1,54.1,0.0,0.0,0.0,0.0,5.9,5.9,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,5.9,1.6,17.6,1.2,1.2,671,2016,,14.27,Systems Engineering.
52,14.33,156,73.1,96.5,88.6,88.6,0.0,87.7,87.7,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,4.4,3.5,0.0,0.9,61463,2016,,14.33,Construction Engineering.
53,14.35,225,76.7,86.6,77.2,76.1,1.2,73.9,73.2,0.8,0.8,0.7,0.1,1.5,1.4,0.1,0.0,0.0,0.0,1.0,0.8,0.1,0.3,0.8,7.8,11.4,1.9,0.7,6334,2016,,14.35,Industrial Engineering.
