,cip_code,earnings.highest.1_yr.male_median_earnings,earnings.highest.1_yr.nonmale_median_earnings,earnings.highest.1_yr.overall_median_earnings,earnings.highest.3_yr.male_median_earnings,earnings.highest.3_yr.nonmale_median_earnings,earnings.highest.2_yr.overall_median_earnings,CIPCode,CIPTitle
221,30.26,,,29036.33333333333,,,30889.0,30.26,Cultural Studies/Critical Theory and Analysis.
222,30.27,32881.333333333336,31364.33333333333,30081.166666666668,44597.5,39855.8,30664.14285714286,30.27,Human Biology.
223,30.28,,43775.0,50877.77777777778,62297.0,64344.0,59376.5,30.28,Dispute Resolution.
224,30.29,,,,,,,30.29,Maritime Studies.
225,30.30,77309.0,,69023.5,,,67660.0,30.30,Computational Science.
226,30.31,52379.066666666666,72589.0,66905.20833333333,53218.0,111492.5,64832.55555555556,30.31,Human Computer Interaction.
227,30.32,36714.0,23721.5,26265.5,,34358.0,29568.0,30.32,Marine Sciences.
228,30.33,59326.0,40509.5,41561.80882352941,78070.0,54003.66666666666,41288.617647058825,30.33,Sustainability Studies.
229,30.45,,,,,,,,
230,30.99,41337.067865769495,35791.16955492424,38113.95371155337,50092.78092469546,40635.41766130695,37334.10708715375,30.99,"Multi/Interdisciplinary Studies, Other."
231,31.01,30946.7,32364.380303030302,31350.63425925925,39433.88596491228,39540.9,30344.663513513515,31.01,"Parks, Recreation and Leisure Studies."
232,31.03,31514.35,31616.651785714286,31568.80662393162,38821.836956521736,38579.744047619046,31761.3141025641,31.03,"Parks, Recreation and Leisure Facilities Management."
233,31.05,31994.60213554964,30072.09315818281,30590.44980200962,40916.10493080993,38712.39277116402,31505.90067267194,31.05,Health and Physical Education/Fitness.
234,31.06,,,27786.0,,,28500.666666666668,31.06,Outdoor Education.
235,31.99,28800.4,21012.0,27064.8,37850.333333333336,,29665.0,31.99,"Parks, Recreation, Leisure, and Fitness Studies, Other."
236,32.01,47382.333333333336,18567.0,41381.0,48950.0,18402.0,35770.22222222222,32.01,Basic Skills and Developmental/Remedial Education.
237,33.01,,,,,,,33.01,Citizenship Activities.
238,34.01,31455.0,31523.0,31965.0,44434.0,38968.0,28888.0,34.01,Health-Related Knowledge and Skills.
239,35.01,,,,,,,35.01,Interpersonal and Social Skills.
240,36.01,33485.0,17136.0,24881.0,36317.0,33245.5,25300.5,36.01,Leisure and Recreational Activities.
241,36.02,,,,,,,,
242,37.01,,,,,,,37.01,Personal Awareness and Self-Improvement.
243,38.00,,,,,,,38.00,"Philosophy and Religious Studies, General."
244,38.01,34364.81862745098,35002.67857142857,31121.608974358973,38105.1743697479,43252.8,30103.35060790273,38.01,Philosophy.
245,38.02,42958.333333333336,30504.625,33592.51587301587,48713.5625,26460.5,32430.171875,38.02,Religion/Religious Studies.
246,38.99,23776.0,,42894.5,50230.0,,36307.5,38.99,"Philosophy and Religious Studies, Other."
